epoch,step,test_mae,test_mse,train_loss,val_loss,val_mae,val_mse
36,9989,0.09729523956775665,0.02054692432284355,,0.2293643355369568,0.0958608090877533,0.018876781687140465
36,9989,,,0.22703346610069275,,,
37,10259,0.09751082956790924,0.020861860364675522,,0.23239482939243317,0.09755013883113861,0.019392874091863632
37,10259,,,0.22702106833457947,,,
38,10529,0.09600254148244858,0.02008194848895073,,0.2272411733865738,0.09476850926876068,0.018537793308496475
38,10529,,,0.2269117385149002,,,
39,10799,0.09713553637266159,0.020183395594358444,,0.22722464799880981,0.09590109437704086,0.018526462838053703
39,10799,,,0.22514708340168,,,
40,11069,0.09661950170993805,0.02028474397957325,,0.2260168045759201,0.09510058164596558,0.01831914857029915
40,11069,,,0.2257363200187683,,,
41,11339,0.09709794074296951,0.020591001957654953,,0.22767631709575653,0.0954388752579689,0.018601302057504654
41,11339,,,0.22625800967216492,,,
42,11609,0.09859536588191986,0.02076689898967743,,0.22911719977855682,0.09724991768598557,0.018825992941856384
42,11609,,,0.22445166110992432,,,
43,11879,0.09571855515241623,0.019805965945124626,,0.2263636440038681,0.09487142413854599,0.018395621329545975
43,11879,,,0.22498628497123718,,,
44,12149,0.09497515112161636,0.02005036734044552,,0.2240854799747467,0.09326285123825073,0.01800842210650444
44,12149,,,0.2237289696931839,,,
45,12419,0.09884069114923477,0.021120212972164154,,0.229691743850708,0.09665663540363312,0.018921323120594025
45,12419,,,0.22496718168258667,,,
46,12689,0.09572471678256989,0.02017986588180065,,0.22543887794017792,0.0941304862499237,0.018244219943881035
46,12689,,,0.22358958423137665,,,
47,12959,0.10132493823766708,0.021793166175484657,,0.23693466186523438,0.10078868269920349,0.02015763521194458
47,12959,,,0.22395098209381104,,,
48,13229,0.09692168980836868,0.020242618396878242,,0.22486649453639984,0.09415941685438156,0.018153559416532516
48,13229,,,0.2231200635433197,,,
49,13499,0.10233908146619797,0.022056445479393005,,0.23874475061893463,0.10093436390161514,0.020447688177227974
49,13499,,,0.2222738116979599,,,
50,13769,0.09696929156780243,0.020365215837955475,,0.22737331688404083,0.09545058757066727,0.018568726256489754
50,13769,,,0.2227327525615692,,,
51,14039,0.09570376574993134,0.01983240433037281,,0.22473306953907013,0.09438548237085342,0.01810712367296219
51,14039,,,0.22162899374961853,,,
52,14309,0.0946386307477951,0.019583003595471382,,0.22116516530513763,0.09263897687196732,0.01755828969180584
52,14309,,,0.22289156913757324,,,
53,14579,0.09586846083402634,0.020743316039443016,,0.2280033677816391,0.0943831354379654,0.018657421693205833
53,14579,,,0.22144024074077606,,,
54,14849,0.09779654443264008,0.02049225941300392,,0.22853799164295197,0.09608788043260574,0.01873658038675785
54,14849,,,0.22186994552612305,,,
55,15119,0.09565190970897675,0.01962939091026783,,0.22439785301685333,0.09472475200891495,0.018056673929095268
55,15119,,,0.22127023339271545,,,
56,15389,0.09774238616228104,0.020622847601771355,,0.22996929287910461,0.09665592014789581,0.01897658221423626
56,15389,,,0.21984438598155975,,,
57,15659,0.09707721322774887,0.019966742023825645,,0.22465555369853973,0.09582673758268356,0.01812644861638546
57,15659,,,0.22132816910743713,,,
58,15929,0.09548243135213852,0.019682180136442184,,0.224066823720932,0.09439325332641602,0.01801077276468277
58,15929,,,0.22122108936309814,,,
59,16199,0.09388892352581024,0.019253646954894066,,0.22025084495544434,0.09199096262454987,0.017402393743395805
59,16199,,,0.2165747582912445,,,
60,16469,0.09400098770856857,0.01941606216132641,,0.2196113020181656,0.09183205664157867,0.01729794591665268
60,16469,,,0.21653440594673157,,,
61,16739,0.09341581165790558,0.019026514142751694,,0.22045230865478516,0.09203960001468658,0.01744275540113449
61,16739,,,0.21600615978240967,,,
62,17009,0.09432006627321243,0.019534720107913017,,0.22029747068881989,0.09216570109128952,0.017410648986697197
62,17009,,,0.21642620861530304,,,
63,17279,0.09406230598688126,0.019078228622674942,,0.2199845314025879,0.0920577272772789,0.017358189448714256
63,17279,,,0.21623075008392334,,,
64,17549,0.09582869708538055,0.019495198503136635,,0.2233256846666336,0.09445294737815857,0.01789657026529312
64,17549,,,0.2158956378698349,,,
65,17819,0.09415578097105026,0.019204625859856606,,0.22155986726284027,0.09300672262907028,0.017625290900468826
65,17819,,,0.21625515818595886,,,
66,18089,0.09478703141212463,0.019621267914772034,,0.22130851447582245,0.09285392612218857,0.0175662562251091
66,18089,,,0.2154977172613144,,,
67,18359,0.09325961768627167,0.0188687015324831,,0.21883879601955414,0.09159774333238602,0.01718461886048317
67,18359,,,0.21586285531520844,,,
68,18629,0.09317293018102646,0.018988100811839104,,0.2220742404460907,0.09282613545656204,0.017698997631669044
68,18629,,,0.21519368886947632,,,
69,18899,0.09494621306657791,0.019450407475233078,,0.22131088376045227,0.0925740897655487,0.017560336738824844
69,18899,,,0.21548469364643097,,,
70,19169,0.0947883203625679,0.019146118313074112,,0.22275769710540771,0.09386149793863297,0.01780778355896473
70,19169,,,0.21558424830436707,,,
71,19439,0.0948801338672638,0.01989164762198925,,0.22174222767353058,0.09272374957799911,0.017654571682214737
71,19439,,,0.21527084708213806,,,
72,19709,0.09361696243286133,0.01928027719259262,,0.22158998250961304,0.09209331125020981,0.017609238624572754
72,19709,,,0.21507538855075836,,,
73,19979,0.09332118183374405,0.01904059387743473,,0.21953584253787994,0.09173035621643066,0.017289070412516594
73,19979,,,0.2151811569929123,,,
74,20249,0.09338818490505219,0.018777914345264435,,0.2198685109615326,0.0923854261636734,0.017355160787701607
74,20249,,,0.21546968817710876,,,
75,20519,0.09342477470636368,0.019035518169403076,,0.2191110998392105,0.09170500189065933,0.017225883901119232
75,20519,,,0.21492189168930054,,,
76,20789,0.09460324794054031,0.019287314265966415,,0.21993087232112885,0.09309277683496475,0.017354251816868782
76,20789,,,0.21470800042152405,,,
77,21059,0.09470256417989731,0.01941877417266369,,0.2218085527420044,0.09263352304697037,0.017647329717874527
77,21059,,,0.21512243151664734,,,
